,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
62,Oklahoma St.,117.286,104.602,0.789,11–1,11,12,55.5,49.4,39.4,33.1,17.7,16.9,33.1,27.6,77.4,58.2,50.4,33.7,32.1,9.3,9.4,51.8,58.5,35.4,47.1,74.465,77.657,81.019,1.813,"2,026",0,0,45.096,,74.7,69.5,1.166,1.013,12.449,Oklahoma St.
63,Northwestern,115.924,103.432,0.788,7–5,7,12,54.5,46.1,39.5,34,13.8,17.4,31.2,33.8,68.8,58,48.6,31.8,28.3,10.5,5.8,64.4,59.7,33.8,40.4,68.069,77.521,80.869,1.557,"2,026",0,0,40.475,,74.6,73.8,1.171,1.02,20.208,Northwestern
64,Oregon,116.879,104.368,0.786,6–6,6,12,51,50.4,40.4,32.1,18.6,16.8,38.1,30.8,69.8,51.3,50.9,33.8,33.1,11.7,8.2,59.2,50,44.9,38.9,68.869,78.61,82.375,2.34,"2,026",0,0,54.174,,72.9,79,1.118,1.076,25.37,Oregon
65,Dayton,112.286,100.417,0.783,9–4,9,13,53.3,51.4,48.1,32.1,16.4,23.4,27.3,28.9,70.2,56.8,47.5,32.5,38.1,13.4,11.2,57,50.9,43.8,39.8,69.275,77.589,81.318,2.2,"2,026",0,0,12.041,,73.2,69.4,1.113,0.983,17.138,Dayton
66,South Florida,115.953,103.8,0.781,7–5,7,12,50.9,50.8,43.4,43.2,15.4,21,38.8,33.5,75.7,52.9,49,32.2,35.7,12.3,13.5,57.3,52.3,43.5,39,73.183,77.135,79.725,2.182,"2,026",0,0,32.434,,74.6,71,1.169,1.055,22.653,South Florida
67,McNeese St.,112.971,101.145,0.781,8–2,8,10,54.1,48.1,37,39.5,15.5,25.8,36.1,37.9,67.9,55.5,45.5,34.2,34,16.6,8.2,50.5,59.5,33,48.6,67.713,77.187,79.844,1.939,"2,026",0,0,47.487,,76.4,71.8,1.174,0.99,15.968,McNeese St.
68,Utah Valley,111.406,99.857,0.779,7–3,7,10,56.6,46.9,32.4,35.5,21.6,20.1,34.6,31,70.3,58.4,48.4,35.5,29.4,14.6,8.2,62,47.7,35.6,34.8,70.707,77.983,80.184,1.843,"2,026",0,0,12.783,,68.6,72.2,1.099,0.98,18.329,Utah Valley
69,Stanford,114.425,102.615,0.778,10–2,10,12,51.5,51.8,44.8,38,16.2,21.3,36,24.2,71.6,50.6,51.7,35.1,34.6,8.8,8.2,48.3,42.7,41.1,31.6,71.048,77.525,81.17,1.939,"2,026",0,0,31.563,,72.4,76.8,1.137,1.002,12.179,Stanford
70,Syracuse,113.043,101.438,0.777,8–4,8,12,52,45.4,41.3,31.4,16.2,21,31.9,34.2,68.1,56.2,43.8,29.8,32.3,17.4,9.1,48.9,54.6,36.4,33.5,68.554,78.162,80.82,1.78,"2,026",0,0,44.597,,60.1,72.3,1.082,0.963,23.751,Syracuse
71,Grand Canyon,109.155,97.968,0.776,7–4,7,11,49.8,48.4,39.6,35.8,17.7,18.5,34,23.5,69.9,53,49.7,29.7,31,7.8,7.7,53.2,51.6,37.3,39.2,68.558,78.557,81.86,2.365,"2,026",0,0,42.836,,75.6,72,1.081,0.972,19.501,Grand Canyon
72,Virginia Tech,114.992,103.242,0.775,11–2,11,13,53.7,49.1,33.9,28.8,13.1,19.1,32.2,32.6,69.2,53.6,52.1,35.9,29.8,11.3,7.9,54,48.4,37.2,41.1,69.475,77.892,81.111,1.327,"2,026",0,0,59.755,,70.3,72.1,1.166,1.019,15.091,Virginia Tech
73,Illinois St.,114.182,102.786,0.77,9–3,9,12,55.1,48.9,35.1,35.8,14.8,16.6,30.3,26.2,69.2,57.5,49.9,34.4,31.5,6,8,50.3,47.8,40.7,37.1,67.613,76.794,80.488,1.928,"2,026",0,0,2.039,,68.5,64.1,1.156,0.996,13.403,Illinois St.
74,Yale,122.061,110.043,0.767,9–1,9,10,58.3,53.6,41.2,33.7,13.9,16.9,35.7,29.5,67,54.4,53.8,44,35.6,9.7,9,57.1,46.2,33.6,41.6,66.76,77.465,79.674,1.956,"2,026",0,0,10.204,,80.8,68.6,1.269,1.102,10.837,Yale
75,Memphis,109.708,99.038,0.764,4–7,4,11,47.1,49.1,34.9,43.5,19.4,18.6,36.9,35.2,71.4,47.7,49.2,30.7,32.6,12.2,9.4,51.6,60.7,34.6,44.3,69.661,77.93,82.353,2.23,"2,026",0,0,43.63,,70.8,71.4,1.027,1.056,33.143,Memphis
76,Belmont,114.899,103.804,0.763,11–1,11,12,61.6,44.9,33.3,28.4,19.7,17.9,28.9,28,72.4,61.3,43.7,41.4,30.7,10.5,8.7,60.9,50.4,44,50.5,71.103,77.712,80.798,1.564,"2,026",0,0,3.988,,66.8,77.9,1.168,0.965,8.943,Belmont
77,Notre Dame,113.775,102.839,0.762,9–4,9,13,55,49.1,32.9,33.6,17.7,15.7,33.3,23.7,66.5,53.7,48.4,37.9,33.3,6.2,8.3,48.3,53.5,41.6,44.2,66.568,78.017,81.047,1.543,"2,026",0,0,64.315,,71.1,72.1,1.142,1.018,22.337,Notre Dame
78,Nevada,116.285,105.237,0.759,9–3,9,12,49,51,48.6,41.1,13.1,18.2,33.6,29.6,67.2,46.1,50.7,37.3,34.3,13.1,9.4,57.9,59,29.4,43.3,66.912,76.736,79.948,1.949,"2,026",0,0,17.861,,74.8,71.3,1.144,1.066,16.304,Nevada
79,George Washington,118.127,106.941,0.758,8–4,8,12,55.8,51.5,45.3,33.4,17.5,18.3,35.7,27,73,58.2,55,35.1,31.3,9.8,11.1,54.6,56.9,42.4,42.6,71.705,77.96,81.253,2.276,"2,026",0,0,19.505,,73.3,72.3,1.19,1.036,14.772,George Washington
80,New Mexico,112.002,101.597,0.754,9–2,9,11,53.6,48.6,38.5,30.2,16.7,20.4,29.3,29.3,71.4,57.5,51.3,32.7,30.8,9.7,8.2,52.5,51.3,45.4,52.5,70.655,77.452,81.062,1.588,"2,026",0,0,15.072,,77.5,74,1.129,0.988,16.568,New Mexico
81,Northern Iowa,104.953,95.313,0.752,8–2,8,10,52.3,44.3,29.6,30.4,14.2,20.4,21.2,27.5,64.7,52.6,46.4,34.6,27.4,12.4,9.2,65.2,49.3,41.7,39.9,63.755,77.605,79.654,2.318,"2,026",0,0,19.37,,66.3,68.3,1.052,0.906,10.008,Northern Iowa
82,Tulsa,120.395,109.385,0.751,9–1,9,10,58.2,51.5,47.1,32.4,15.5,16.5,31.8,25.6,69.1,55,49.4,40.9,36.3,5.6,7.5,61.7,55.3,50.1,40.8,68.187,77.666,80.362,2.015,"2,026",0,0,3.205,,78.8,74.2,1.246,1.058,14.239,Tulsa
83,Mississippi,112.566,102.39,0.748,7–5,7,12,51.6,49.5,39,36.2,16.2,19.8,31,30.7,67.4,51.4,48.1,34.5,34.4,15.7,8.6,56.2,55.3,36.8,41.5,66.406,77.823,80.641,2.078,"2,026",0,0,43.118,,73.1,67.2,1.102,1.016,22.326,Mississippi
84,Colorado,118.634,108.049,0.746,10–2,10,12,57,51.5,42.5,32.1,14.6,15.8,33.4,27.7,70.4,56.7,49,38.4,37.3,10,7.7,56.5,43.1,30.4,35.7,69.903,78.184,82.548,1.059,"2,026",0,0,35.794,,75.2,72.2,1.214,1.078,13.648,Colorado
